% of businesses,3rd Quarter of 2025,3rd Quarter of 2024
All businesses,14.5,10.6
"Agriculture, forestry, fishing and hunting",4.9,4.8
"Mining, quarrying, and oil and gas extraction",3.4,4.6
Construction,9.2,3.2
Manufacturing,7.2,13.1
Wholesale trade,7.8,12.2
Retail trade,5.7,5.1
Transportation and warehousing,6.6,4.2
Information and cultural industries,38.6,29.7
Finance and insurance,31.5,17.9
Real estate and rental and leasing,24.4,13
"Professional, scientific and technical services",26.3,24.6
"Administrative and support, waste management and remediation services",11.6,12.7
Health care and social assistance,23.2,11.4
"Arts, entertainment and recreation",15.2,18.5
Accommodation and food services,14.8,6
Other services (except public administration),8.7,6.5
